Comm_name,t_switch,t_target,M0,n_present,n_producers,output,P_final,glv1_failed,glv2_failed
comm_504,9.704801108164087,9.907255908618396,4.070147828338423,10,3,7.421034809143208,7.421034809143211,FALSE,FALSE
comm_505,11.182112952992615,11.145821406072729,20.54970394,12,3,3.3890890199459274,3.3890890199459256,FALSE,FALSE
comm_506,10.798794738622108,10.818387534460957,7.101513929953499,12,3,6.023927722643653,6.023927722643653,FALSE,FALSE
comm_507,11.053717558652124,10.801035049915747,9.879993962668527,9,2,10.387024055835738,10.387024055835735,FALSE,FALSE
comm_508,11.448447180805829,11.23035317655881,11.48507654065574,11,4,5.297871530935101,5.297871531,FALSE,FALSE
comm_509,11.47049631,11.35171259830058,7.674090636249165,10,2,4.269777566226837,4.269777566226836,FALSE,FALSE
comm_510,8.816675730195643,8.802762072799984,6.542262552254415,10,4,6.880184058949198,6.8801840589491965,FALSE,FALSE
comm_511,9.122155856,9.111697142,6.010319520785445,11,5,10.414670237615491,10.41467023761549,FALSE,FALSE
comm_512,11.08579866731177,10.655033392416023,11.605585647739394,9,5,9.982137042068523,9.982137042068523,FALSE,FALSE
comm_513,10.343050465692366,10.568887145225126,7.218511613632524,10,3,3.1540712285696886,3.1540712285696877,FALSE,FALSE
comm_514,10.560137448620514,10.821118862886992,5.672053132684797,9,4,6.933084998078819,6.933084998078819,FALSE,FALSE
comm_515,11.048060599394866,11.167217269379965,16.66266212501591,11,4,15.349248882231457,15.349248882231453,FALSE,FALSE
comm_516,9.95824835,9.986910681383735,8.950989657718418,10,2,1.7362604741054661,1.7362604741054657,FALSE,FALSE
comm_517,9.703822379837689,9.766234246424183,5.742357914223787,8,2,2.3771108123838727,2.3771108123838736,FALSE,FALSE
comm_518,10.576954802793157,10.445821476241564,12.170371315490522,8,5,13.634581250995854,13.634581250995852,FALSE,FALSE
comm_519,11.253977670540076,11.200160149865477,20.695318696272825,11,3,10.84016849492306,10.840168494923063,FALSE,FALSE
comm_520,9.664651434243014,9.697977203,6.724698913837388,11,3,2.1848770998819185,2.184877099881919,FALSE,FALSE
comm_521,8.722928248918054,8.673277141233472,4.561746432,8,4,6.145613272943526,6.145613272943527,FALSE,FALSE
comm_522,12.526592834349564,12.670620017766359,17.219576652120644,9,4,7.050659931094662,7.050659931094658,FALSE,FALSE
comm_523,8.677001709240505,8.705102853492269,10.086185341995247,10,4,22.820949517859372,22.820949517859365,FALSE,FALSE
comm_524,8.786817340552584,8.729188746,4.895291465968148,11,3,7.030509401227751,7.0305094012277545,FALSE,FALSE
comm_525,9.539022793755404,9.510656804,10.272982123689614,8,5,12.779302032538947,12.779302032538938,FALSE,FALSE
